,product_image,product_ram,product_condition,product_cost,product_name,product_storage,product_color,original_cost
255,https://rukminim1.flixcart.com/image/612/612/jpr86fk0/mobile-refurbished/h/g/h/v3-32-d-na-vivo-3-original-imafbxghxsskg44x.jpeg?q=70,3 GB RAM,Refurbished - Okay,₹ 4799.00,ViVO V3,32 GB,Gold,23122
256,https://rukminim1.flixcart.com/image/612/612/jjolt3k0/mobile-refurbished/r/b/h/one-64-u-a0001-oneplus-3-original-imaf6mdyydnwwnwa.jpeg?q=70,3 GB RAM,Refurbished - Okay,₹ 7099.00,OnePlus One,64 GB,Sandstone Black,20500
259,https://rukminim1.flixcart.com/image/612/612/jpr86fk0/mobile-refurbished/4/f/m/y53-16-d-1606-vivo-2-original-imafbxeh6k4nrcyy.jpeg?q=70,2 GB RAM,Refurbished - Okay,₹ 4399.00,ViVO Y53,16 GB,Matte Black,9000
261,https://rukminim1.flixcart.com/image/612/612/jyxaw7k0/mobile/z/s/j/mi-redmi-note-5-mzb5915in-original-imaf6mhadhzxcdst.jpeg?q=70,3 GB RAM,Refurbished - Good,₹ 5249.00,Redmi Note 5,32 GB,Black,17820
262,https://rukminim1.flixcart.com/image/612/612/jyxaw7k0/mobile/k/g/m/samsung-galaxy-j6-sm-j600gzbhins-original-imaf9f37syzdmezd.jpeg?q=70,3 GB RAM,Refurbished - Good,₹ 5090.00,SAMSUNG Galaxy J6,32 GB,Blue,15300
265,https://rukminim1.flixcart.com/image/612/612/jjq18y80/mobile-refurbished/t/k/b/galaxy-j5-8-a-sm-j500fzddins-samsung-1-5-original-imaf6mh6q3eggpar.jpeg?q=70,1.5 GB RAM,Refurbished - Good,₹ 4299.00,SAMSUNG Galaxy J5,8 GB,Gold,13600
266,https://rukminim1.flixcart.com/image/612/612/jjolt3k0/mobile-refurbished/f/h/b/moto-x-force-32-u-xt-1580-motorola-3-original-imaf6meyvghgyjvz.jpeg?q=70,3 GB RAM,Refurbished - Good,₹ 6999.00,Moto X Force,32 GB,Black,25760
268,https://rukminim1.flixcart.com/image/612/612/jjolt3k0/mobile-refurbished/n/9/g/redmi-5a-32-u-mci3b-mi-3-original-imaf6mgq2yxmn5fn.jpeg?q=70,2 GB RAM,Refurbished - Okay,₹ 4464.00,Redmi 5A,16 GB,Gold,9900
270,https://rukminim1.flixcart.com/image/612/612/jyxaw7k0/mobile/8/e/h/google-pixel-xl-g-2pw2200-051-b-original-imaf6mhzbnqgwxyn.jpeg?q=70,4 GB RAM,Refurbished - Good,₹ 13499.00,Google Pixel XL,32 GB,Very Silver,36000
272,https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_70cecb.svg,4 GB RAM,Refurbished - Good,₹ 6699.00,SAMSUNG Galaxy M20,64 GB,Charcoal Black,11499
273,https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_70cecb.svg,4 GB RAM,Refurbished - Good,₹ 7939.00,SAMSUNG Galaxy M20,64 GB,Ocean Blue,11499
275,https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_70cecb.svg,4 GB RAM,Refurbished - Good,₹ 4199.00,Moto G5s,32 GB,Lunar Gray,13800
276,https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_70cecb.svg,3 GB RAM,Refurbished - Good,₹ 6398.00,Redmi 6 Pro,32 GB,Black,13300
277,https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_70cecb.svg,3 GB RAM,Refurbished - Superb,₹ 4685.00,Redmi 3S Prime,32 GB,Gold,14850
279,https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_70cecb.svg,3 GB RAM,Refurbished - Good,₹ 5999.00,SAMSUNG Galaxy J6,32 GB,Black,15300
281,https://rukminim1.flixcart.com/image/612/612/jjq18y80/mobile-refurbished/j/6/w/moto-g4-plus-32-u-xt1643-motorola-3-original-imaf6mdt4vhd3h7y.jpeg?q=70,3 GB RAM,Refurbished - Okay,₹ 11999.00,Moto G4 Plus,32 GB,White,14720
282,https://rukminim1.flixcart.com/image/612/612/jyxaw7k0/mobile/h/y/y/vivo-v7-1716-original-imaf9wfdjqfttf6m.jpeg?q=70,4 GB RAM,Refurbished - Good,₹ 8199.00,ViVO V7+,64 GB,Gold,32015
283,https://rukminim1.flixcart.com/image/612/612/jm0wscw0/mobile-refurbished/n/k/8/v9-youth-32-b-1727-vivo-4-original-imaf9f3evmfgm8eq.jpeg?q=70,4 GB RAM,Refurbished - Good,₹ 7599.00,ViVO V9 Youth,32 GB,Black,23122
284,https://rukminim1.flixcart.com/image/612/612/k0lbdzk0pkrrdj/mobile/d/h/m/mi-redmi-note-7-pro-mzb7462in-original-imafeybaxhesszgn.jpeg?q=70,4 GB RAM,Refurbished - Good,₹ 7899.00,Redmi Note 7 Pro,64 GB,Space Black,14990
285,https://rukminim1.flixcart.com/image/612/612/jjolt3k0/mobile-refurbished/g/9/b/moto-x-play-32-u-xt1562-motorola-2-original-imaf6meyhzmch7zk.jpeg?q=70,2 GB RAM,Refurbished - Good,₹ 4999.00,Moto X Play,32 GB,Black,22080
